S100A9,2.969461630325314e-231
LYZ,3.315557729226255e-229
S100A8,3.592820678677865e-222
TYROBP,1.097544237155574e-202
FCN1,1.0905895213893418e-194
FTL,1.2977459018039846e-188
CST3,1.1296688168105602e-187
LGALS2,1.5760727052286327e-184
S100A6,3.300803295494975e-184
FTH1,1.1397331830679785e-176
LGALS1,9.429914737131984e-175
GPX1,1.5929298194628243e-167
GSTP1,2.3142237710222335e-165
S100A4,6.733593461066728e-159
TYMP,6.684766714051866e-153
AIF1,3.6320837144002462e-152
OAZ1,6.007355926798263e-151
CTSS,4.735560089429154e-150
LST1,2.613032965076753e-146
SAT1,9.490094561790384e-132
S100A11,3.917033676507441e-131
PSAP,1.156242496391965e-130
CYBA,4.803705852261037e-128
COTL1,5.083779734166608e-127
FCER1G,6.9496882958758725e-121
NPC2,1.0422931847910356e-116
CFD,1.9921660420973483e-114
GRN,4.4891612080406717e-113
GABARAP,2.0721367202319073e-112
GAPDH,1.5857532789182705e-111
CD14,2.0197597314516135e-110
MS4A6A,1.8984398901603187e-104
AP1S2,1.130061505890962e-103
RAC1,4.792799808839717e-100
TSPO,8.82372712765615e-99
LGALS3,1.2635738749396041e-92
PYCARD,2.2979545021466403e-92
TKT,5.230768612608131e-92
CD68,8.65886068795077e-90
CEBPD,3.3396653956643406e-87
NEAT1,5.821383086646074e-86
TALDO1,1.4854828469088818e-82
SERPINA1,4.975836321120471e-79
SH3BGRL3,2.0242938505887392e-76
FCGRT,5.395536370499509e-73
CFP,1.149485403919371e-72
ARPC1B,1.1595433717872891e-72
VIM,2.4133502920486524e-71
IFI6,4.5374236265841824e-70
TMSB10,8.177820201784882e-67
NCF2,8.052504815793786e-66
HLA-DRA,2.414141696343428e-64
SRGN,3.9306283501515336e-63
ATP5G2,6.252017222004689e-63
ARPC3,8.797089544820459e-63
BLVRB,3.527373227148063e-61
AP2S1,4.363797213813996e-59
SPI1,7.7760551886219805e-59
CDA,1.0280230692237875e-58
BRI3,7.657052158977761e-58
ANXA2,1.6189767799451206e-57
S100A10,3.551867915314401e-57
MT-ND1,1.9314968415223577e-55
IFI30,2.1607283365721146e-54
SERF2,2.424894177381495e-54
NUP214,3.346521064861902e-54
C1orf162,7.768629893484258e-54
EIF4A1,1.3319533700182214e-50
IFITM3,4.140595899343379e-50
ACTB,1.0730612113526821e-48
PFDN5,1.5801111357296127e-48
CSF3R,2.0794764209040025e-48
RNF130,3.899950986717185e-48
ATP6V0B,1.6241888080580605e-46
TNFSF13B,3.3056075256251714e-45
HLA-DRB1,5.017155664744758e-45
ALDOA,6.708328433437481e-45
ALDH2,8.780540386007933e-45
RGS2,3.033269349859181e-44
CTSB,3.083444248623408e-44
TMSB4X,4.3107455731364824e-44
CEBPB,2.0236742137828325e-43
NFKBIA,2.39194646476898e-43
CTSH,9.371227878625416e-43
PRELID1,1.391043321214315e-42
SLC7A7,3.4266125417482715e-42
CAPG,1.9735131738994295e-40
FKBP1A,3.103403503245849e-40
FPR1,1.606541017513469e-39
CD74,7.323958672517786e-39
MT-CO1,1.3817353061918515e-37
LINC00936,1.632376088846535e-37
FOSB,3.252908943404321e-36
LAMTOR4,4.724996718366414e-36
ASGR1,3.0574207263323377e-35
CNPY3,5.734497589585243e-35
C20orf24,5.830849838617828e-35
MNDA,6.46849434995128e-35
LY86,7.62343611310123e-35
TCEB2,1.9352689003460034e-34
ISG15,3.570945228717179e-34
CTSD,8.683987942966819e-34
SERPINB1,9.424417682274545e-34
VCAN,9.936318258968032e-33
VAMP8,1.2986078665158463e-32
TIMP1,2.8491531434556047e-32
HLA-DRB5,1.122105042491493e-31
AGTRAP,1.3677852115476686e-30
FGR,4.789285707660611e-30
MYL6,6.039664778083767e-30
ATP6V1F,9.388255976415384e-30
IGSF6,1.1876472024882255e-29
ZFP36,1.399584843949117e-29
APOBEC3A,1.9931981238041023e-29
PGLS,2.0436454123449322e-29
GLRX,2.880387017176011e-29
BLVRA,2.718954896656971e-28
PLBD1,3.3068430135858365e-27
CPVL,6.630183413819908e-27
ODF3B,7.188495597252082e-27
LY6E,7.274679339348514e-27
